,Bed,Bath,m²,Price,Address,Property_type,New_build,Page
85,4.0,1.0,,349000,"Srah Road, Tullamore, Co. Offaly",Bungalow,no,4
86,4.0,3.0,198.0,399000,"Toberleheen, Tullamore, Co. Offaly",Detached,no,4
87,6.0,3.0,260.0,450000,"Kilcreevanty, Tuam, Co. Galway",Detached,no,4
88,4.0,3.0,256.0,895000,"Carrigkea, Burnaby Heights, Greystones, Co. Wicklow",Detached,no,4
89,4.0,2.0,,299000,"Chequer Hill, Dunmore, Co. Galway",Detached,no,4
90,4.0,4.0,201.0,340000,"2 Lios Na Gaoithe, Lisryan, Co. Longford",Detached,no,4
91,3.0,2.0,100.0,250000,"120 Clonattin Village, Gorey, Co. Wexford",Semi-D,no,4
92,4.0,4.0,260.0,475000,"Kilbeg, Headford, Co. Galway",Detached,no,4
93,4.0,4.0,385.0,1250000,"Reagrove, Minane Bridge, Kinsale, Co. Cork",Detached,no,4
94,4.0,1.0,97.0,348000,"59 Esker Park, Lucan, Co. Dublin",Semi-D,no,4
95,3.0,2.0,167.0,225000,"Mullinroe, Dring, Co. Longford",Detached,no,4
96,3.0,2.0,,Price on Application,"4 Old Golf Links Road, Oakpark, Tralee, Co. Kerry",Semi-D,no,4
97,4.0,4.0,,675000,"2 Cherry Court, Grantstown Village, Waterford City, Co. Waterford",Detached,no,4
98,3.0,1.0,80.0,275000,"62 Greenhills Court, South Douglas Road, Douglas, Co. Cork",Semi-D,no,4
99,6.0,8.0,278.0,650000,"Kilmagig Upper, Arklow, Co. Wicklow",Bungalow,no,4
100,4.0,2.0,124.0,425000,"Lacken Lodge on c. 5 acres, Rathmoyle, Co. Kilkenny",Bungalow,no,5
101,,,2023.3903929424143,Price on Application,"Allendale House, Model Village, Tower, Co. Cork",Site,no,5
102,3.0,1.0,,195000,"20 Woodlands, Oakpark, Tralee, Co. Kerry",Bungalow,no,5
103,2.0,1.0,,310000,"2 Rose Arden, Sundays Well Road, Sundays Well, Sunday's Well, Co. Cork",Terrace,no,5
104,3.0,3.0,98.0,280000,"58 Hermitage Drive, Rushbrooke Links, Cobh, Co. Cork",Semi-D,no,5
105,1.0,1.0,45.0,310000,"34 The Pine, The Wintergarden, Pearse Street, Dublin 2",Apartment,no,5
106,5.0,4.0,269.0,850000,"Bawnmore, Clara, Co. Kilkenny",Detached,no,5
107,2.0,1.0,65.0,220000,"16 Willow Close, Primrose Gate, Celbridge, Co. Kildare",Apartment,no,5
108,4.0,1.0,76.0,245000,"58 Churchfield Avenue, Churchfield, Churchfield, Co. Cork",Terrace,no,5
109,5.0,5.0,204.0,395000,"Mountrivers, Rylane, Co. Cork",Detached,no,5
110,3.0,3.0,,220000,"6 Barrow View, Dún Brinn, Athy, Co. Kildare",Semi-D,no,5
111,4.0,3.0,265.0,695000,"11/12 The Mall, Wicklow Town, Co. Wicklow",Terrace,no,5
